from каптана	 to 	картина	 distance == 2
from небережение	 to 	небрежение	 distance == 1
from рель	 to 	реть	 distance == 1
from корь	 to 	кора	 distance == 1
from хутинский	 to 	хутынский	 distance == 1
from михалевъ	 to 	михаевъ	 distance == 1
from смѣсти	 to 	смѣсити	 distance == 1
from сгрѣсти	 to 	срѣсти	 distance == 1
from примѣсти	 to 	примѣсити	 distance == 1
from просольный	 to 	пресельный	 distance == 2
from невѣдание	 to 	невѣдение	 distance == 1
from взлагати	 to 	возлагати	 distance == 1
from грецский	 to 	греческий	 distance == 2
from разврѣсти	 to 	развести	 distance == 1
from пискупъ	 to 	искупъ	 distance == 1
from роспустъ	 to 	отпустъ	 distance == 2
from сватство	 to 	сватовство	 distance == 2
from вѣдство	 to 	бѣдство	 distance == 1
from урѣкание	 to 	урѣзание	 distance == 1
from блядня	 to 	блядь	 distance == 2
from зель	 to 	цѣль	 distance == 1
from потка	 to 	почка	 distance == 1
from роздавити	 to 	раздавити	 distance == 1
from пообидѣти	 to 	побдѣти	 distance == 2
from скрытися	 to 	стрытися	 distance == 1
from хрищение	 to 	хищение	 distance == 1
from вскрѣшение	 to 	воскрешение	 distance == 1
from извѣсъ	 to 	извѣтъ	 distance == 1
from паломникъ	 to 	псаломникъ	 distance == 1
from лѣчець	 to 	сѣчецъ	 distance == 2
from прощеникъ	 to 	пращникъ	 distance == 2
from сторонникъ	 to 	странникъ	 distance == 2
from слѣпець	 to 	слѣпецъ	 distance == 1
from странноприймница	 to 	странноприимница	 distance == 1
from груздь	 to 	гроздъ	 distance == 2
from дорожный	 to 	дружный	 distance == 2
from переступати	 to 	преступати	 distance == 1
from господарь	 to 	государь	 distance == 2
from россия	 to 	россиа	 distance == 1
from равнѣ	 to 	равно	 distance == 1
from беспрѣстанно	 to 	безпрестанно	 distance == 1
from богоугоднѣ	 to 	богоугодно	 distance == 1
from спротивъ	 to 	сопротивъ	 distance == 1
from симановъ	 to 	симоновъ	 distance == 1
from прилежнѣ	 to 	прилежно	 distance == 1
from честнѣ	 to 	честно	 distance == 1
from кречатъ	 to 	крестъ	 distance == 2
from сповѣдатель	 to 	исповѣдатель	 distance == 1
from неразумичный	 to 	разумичный	 distance == 2
from прѣнемагати	 to 	пренемогати	 distance == 1
from бесчинникъ	 to 	безчинникъ	 distance == 1
from сдѣльникъ	 to 	ссельникъ	 distance == 1
from инокий	 to 	инакий	 distance == 1
from начаяти	 to 	начати	 distance == 1
from житийский	 to 	житейский	 distance == 1
from овчя	 to 	овча	 distance == 1
from любзно	 to 	любезно	 distance == 1
from створяти	 to 	сотворяти	 distance == 1
from волчець	 to 	волчецъ	 distance == 1
from пристигнути	 to 	постигнути	 distance == 2
from толми	 to 	кольми	 distance == 2
from сбродити	 to 	бродити	 distance == 1
from измлѣти	 to 	измрети	 distance == 1
from укаряхути	 to 	укаряти	 distance == 2
from пооущати	 to 	поущати	 distance == 1
from поубожити	 to 	оубожити	 distance == 1
from прѣломити	 to 	преложити	 distance == 1
from взбранение	 to 	возбранение	 distance == 1
from учернити	 to 	очернити	 distance == 1
from ожжение	 to 	жжение	 distance == 1
from влечи	 to 	влещи	 distance == 1
from дышание	 to 	дыхание	 distance == 1
from пострѣщи	 to 	пострищи	 distance == 1
from случаи	 to 	случай	 distance == 1
from прозорочный	 to 	прозрачный	 distance == 2
from бдрость	 to 	бодрость	 distance == 1
from лютѣ	 to 	люто	 distance == 1
from облѣнити	 to 	облѣпити	 distance == 1
from помдлити	 to 	помедлити	 distance == 1
from вызывати	 to 	взывати	 distance == 1
from стащити	 to 	ставити	 distance == 1
from шствовати	 to 	шествовати	 distance == 1
from утрий	 to 	утрений	 distance == 2
from впияти	 to 	вопияти	 distance == 1
from охопити	 to 	ходити	 distance == 2
from чудовъ	 to 	иудовъ	 distance == 1
from сплыти	 to 	соплыти	 distance == 1
from роскласти	 to 	воскласти	 distance == 1
from благоисправляти	 to 	благоуправляти	 distance == 2
from побѣдоносець	 to 	побѣдоносецъ	 distance == 1
from ревние	 to 	рвение	 distance == 2
from удобый	 to 	удобный	 distance == 1
from розбрати	 to 	избрати	 distance == 2
from распудити	 to 	расплодити	 distance == 2
from мантия	 to 	мантиа	 distance == 1
from распалина	 to 	развалина	 distance == 2
from отядение	 to 	отдоение	 distance == 2
from невздержный	 to 	невоздержный	 distance == 1
from промежду	 to 	промежь	 distance == 2
from вынимати	 to 	внимати	 distance == 1
from пафнутевъ	 to 	пафнутиевъ	 distance == 1
from хованский	 to 	ховарский	 distance == 1
from николский	 to 	никольский	 distance == 1
from розломати	 to 	разломити	 distance == 2
from отдухъ	 to 	духъ	 distance == 2
from пробѣжати	 to 	пребѣжати	 distance == 1
from роскачати	 to 	вскачати	 distance == 2
from сапожникъ	 to 	сановникъ	 distance == 2
from костянтинь	 to 	константинь	 distance == 2
from срѣдѣ	 to 	предъ	 distance == 2
from розвѣщати	 to 	возвѣщати	 distance == 1
from тощнѣ	 to 	тощно	 distance == 1
from прѣдложение	 to 	преложение	 distance == 1
from бесчествовати	 to 	безчествовати	 distance == 1
from удѣльный	 to 	дѣльный	 distance == 1
from павловъ	 to 	паиловъ	 distance == 1
from неука	 to 	ника	 distance == 2
from явленый	 to 	явный	 distance == 2
from копытце	 to 	копыто	 distance == 2
from сстроение	 to 	состроение	 distance == 1
from оградъ	 to 	градъ	 distance == 1
from зелийный	 to 	зелейный	 distance == 1
from растение	 to 	растлѣние	 distance == 1
from поспѣшство	 to 	поспѣшество	 distance == 1
from окрочити	 to 	окропити	 distance == 1
from извѣсто	 to 	извѣстно	 distance == 1
from старѣишинство	 to 	старѣйшинство	 distance == 1
from фуниксъ	 to 	финиксъ	 distance == 1
from утерпѣти	 to 	терпѣти	 distance == 1
from скудно	 to 	студно	 distance == 1
from взгражение	 to 	возражение	 distance == 2
from приснодѣвица	 to 	приснодѣва	 distance == 2
from розгоняти	 to 	разгоняти	 distance == 1
from заговорити	 to 	затворити	 distance == 2
from скима	 to 	схима	 distance == 1
from вербный	 to 	вѣрный	 distance == 1
from опочинути	 to 	повинути	 distance == 2
from сопѣти	 to 	спѣти	 distance == 1
from исчазати	 to 	исчезати	 distance == 1
from отѣдение	 to 	отведение	 distance == 1
from взлогати	 to 	возлегати	 distance == 2
from вбегнути	 to 	вергнути	 distance == 2
from клочокъ	 to 	клокъ	 distance == 2
from полуночь	 to 	полунощь	 distance == 1
from взвеличати	 to 	возвеличати	 distance == 1
from взлежати	 to 	возлежати	 distance == 1
from хрестолюбець	 to 	христолюбецъ	 distance == 2
from мниховъ	 to 	жениховъ	 distance == 2
from нагонити	 to 	загнити	 distance == 2
from любодѣание	 to 	любодѣяние	 distance == 1
from лжехристъ	 to 	лжехристосъ	 distance == 2
from кириловъ	 to 	кирилловъ	 distance == 1
from фармосовъ	 to 	фаресовъ	 distance == 2
from дамаскинъ	 to 	дамаскъ	 distance == 2
from закликати	 to 	заклинати	 distance == 1
from обѣдание	 to 	обѣщание	 distance == 1
from лечи	 to 	лещи	 distance == 1
from знаменоносець	 to 	знаменоносецъ	 distance == 1
from накопити	 to 	напоити	 distance == 2
from низлѣзти	 to 	излѣзти	 distance == 1
from окусити	 to 	вкусити	 distance == 1
from обрядити	 to 	бродити	 distance == 2
from сорочица	 to 	срачица	 distance == 2
from благословеный	 to 	благословный	 distance == 1
from сиций	 to 	синий	 distance == 1
from ничати	 to 	начати	 distance == 1
from обрѣcти	 to 	обрѣсти	 distance == 1
from опустнѣти	 to 	опустѣти	 distance == 1
from пещница	 to 	пѣвница	 distance == 1
from пороздный	 to 	породный	 distance == 1
from вздрѣмати	 to 	воздремати	 distance == 1
from пахати	 to 	пхати	 distance == 1
from взливати	 to 	возливати	 distance == 1
from потянути	 to 	потонути	 distance == 1
from взиграти	 to 	взыграти	 distance == 1
from поспание	 to 	посыпание	 distance == 1
from допровадити	 to 	сопроводити	 distance == 2
from речи	 to 	рещи	 distance == 1
from сгноити	 to 	огноити	 distance == 1
from сѣчи	 to 	сѣщи	 distance == 1
from ляжати	 to 	лежати	 distance == 1
from неродивый	 to 	нерадивый	 distance == 1
from тихи	 to 	тихо	 distance == 1
from кратъ	 to 	критъ	 distance == 1
from вспрянути	 to 	воспрянути	 distance == 1
from починути	 to 	повинути	 distance == 1
from оболость	 to 	область	 distance == 2
from климентъ	 to 	климатъ	 distance == 2
from прѣдставляти	 to 	предоставляти	 distance == 1
from взгнѣтити	 to 	возгнѣтити	 distance == 1
from шегати	 to 	бѣгати	 distance == 1
from прѣслушание	 to 	послушание	 distance == 2
from прѣдложити	 to 	преложити	 distance == 1
from крѣпѣ	 to 	крѣпко	 distance == 2
from отбегати	 to 	отбѣжати	 distance == 1
from заблужение	 to 	заблуждение	 distance == 1
from сповѣдание	 to 	исповѣдание	 distance == 1
from прѣдставити	 to 	предоставити	 distance == 1
from неспание	 to 	спание	 distance == 2
from собещникъ	 to 	обещникъ	 distance == 1
from раздрѣшити	 to 	разрѣшити	 distance == 1
from кошь	 to 	кошъ	 distance == 1
from парамонарь	 to 	парамонарий	 distance == 2
from кунъ	 to 	кумъ	 distance == 1
from створение	 to 	сотворение	 distance == 1
from отнуду	 to 	отонуду	 distance == 1
from належание	 to 	залежание	 distance == 1
from опровратити	 to 	превратити	 distance == 2
from бчевь	 to 	бровь	 distance == 2
from правѣ	 to 	право	 distance == 1
from согбеный	 to 	согрѣшный	 distance == 2
from затваряти	 to 	затворяти	 distance == 1
from мѣсильница	 to 	мельница	 distance == 2
from пакостствовати	 to 	пакоствовати	 distance == 2
from иларионъ	 to 	ликарионъ	 distance == 2
from испечение	 to 	истечение	 distance == 1
from единный	 to 	денный	 distance == 2
from прѣпитати	 to 	пропитати	 distance == 1
from злокознный	 to 	злокозненный	 distance == 2
from комара	 to 	кара	 distance == 2
from отаи	 to 	отъ	 distance == 2
from стрѣщи	 to 	стрищи	 distance == 1
from сдержание	 to 	содержание	 distance == 1
from прикладати	 to 	прикладовати	 distance == 2
from бѣдити	 to 	убѣдити	 distance == 1
from епистолия	 to 	епистолиа	 distance == 1
from рикнути	 to 	ринути	 distance == 1
from промкнути	 to 	примкнути	 distance == 1
from благодатство	 to 	благодарство	 distance == 1
from органный	 to 	ранный	 distance == 2
from пискъ	 to 	песокъ	 distance == 2
from ектения	 to 	ектениа	 distance == 1
from свратити	 to 	совратити	 distance == 1
from сградити	 to 	соградити	 distance == 1
from проныривый	 to 	пронырливый	 distance == 1
from болми	 to 	кольми	 distance == 2
from покоривый	 to 	покорливый	 distance == 1
from взгрозити	 to 	грозити	 distance == 2
from освитати	 to 	свитати	 distance == 1
from прирокъ	 to 	пророкъ	 distance == 1
from обавление	 to 	объявление	 distance == 2
from взврѣщи	 to 	возврещи	 distance == 1
from пооблачити	 to 	облачити	 distance == 2
from приплодокъ	 to 	приплодъ	 distance == 2
from пограбити	 to 	ограбити	 distance == 1
from поточение	 to 	потчение	 distance == 1
from луконце	 to 	оконце	 distance == 2
from прѣстатие	 to 	престание	 distance == 1
from разградити	 to 	разграбити	 distance == 1
from сгражение	 to 	сражение	 distance == 1
from вздвизати	 to 	воздвигати	 distance == 2
from окушати	 to 	кушати	 distance == 1
from оспытовати	 to 	испытовати	 distance == 1
from византия	 to 	византиа	 distance == 1
from богосдѣтельный	 to 	богосодѣтельный	 distance == 1
from флавий	 to 	славий	 distance == 1
from расширяти	 to 	разширяти	 distance == 1
from прѣвращати	 to 	прекращати	 distance == 1
from идолский	 to 	идольский	 distance == 1
from асия	 to 	асиа	 distance == 1
from ливия	 to 	ливиа	 distance == 1
from долгый	 to 	долгий	 distance == 1
from низлетѣти	 to 	излетѣти	 distance == 1
from мудрець	 to 	мудрецъ	 distance == 1
from хрестиянство	 to 	христианство	 distance == 2
from оточный	 to 	точный	 distance == 1
from взбудити	 to 	возбудити	 distance == 1
from византия	 to 	византиа	 distance == 1
from елена	 to 	пелена	 distance == 1
from костянтиновъ	 to 	константиновъ	 distance == 2
from галуи	 to 	салуй	 distance == 2
from глушица	 to 	голубица	 distance == 2
from наплоняти	 to 	наполняти	 distance == 2
from туркъ	 to 	турокъ	 distance == 1
from торгование	 to 	торгание	 distance == 2
from мокий	 to 	маий	 distance == 2
from схранение	 to 	сохранение	 distance == 1
from единокаменный	 to 	единоименный	 distance == 2
from докончание	 to 	окончание	 distance == 1
from султанъ	 to 	станъ	 distance == 2
from пристравати	 to 	пристрадати	 distance == 1
from синклитъ	 to 	сигклитъ	 distance == 1
from безвѣрный	 to 	безмѣрный	 distance == 1
from лития	 to 	литиа	 distance == 1
from прѣблагословленый	 to 	преблагословенный	 distance == 2
from нерукотвореный	 to 	нерукотворный	 distance == 1
from прѣнепорочный	 to 	всенепорочный	 distance == 2
from спротивление	 to 	сопротивление	 distance == 1
from сдѣиствовати	 to 	содѣйствовати	 distance == 2
from отлиати	 to 	тлити	 distance == 2
from опочити	 to 	почити	 distance == 1
from откликнути	 to 	воскликнути	 distance == 2
from сурна	 to 	серна	 distance == 1
from раздрушити	 to 	разрушити	 distance == 1
from придвигнути	 to 	предвигнути	 distance == 1
from сурный	 to 	сырный	 distance == 1
from пищальный	 to 	прощальный	 distance == 2
from стукъ	 to 	стокъ	 distance == 1
from трѣскота	 to 	тѣснота	 distance == 2
from прѣмочи	 to 	премощи	 distance == 1
from зелеиный	 to 	зелейный	 distance == 1
from сыроядець	 to 	сыроядецъ	 distance == 1
from взглашати	 to 	возглашати	 distance == 1
from поскорити	 to 	покорити	 distance == 1
from мужествный	 to 	мужественный	 distance == 2
from фарисъ	 to 	фарсисъ	 distance == 1
from безбранно	 to 	безбрачно	 distance == 1
from аммория	 to 	аммориа	 distance == 1
from зиновя	 to 	киновия	 distance == 2
from скрозѣ	 to 	сквозѣ	 distance == 1
from толма	 to 	полма	 distance == 1
from дозѣла	 to 	доселѣ	 distance == 2
from стуждати	 to 	стужати	 distance == 1
from задѣлати	 to 	задѣвати	 distance == 1
from изнутри	 to 	извнутри	 distance == 1
from зелеиникъ	 to 	цѣлебникъ	 distance == 2
from возярити	 to 	возъярити	 distance == 1
from течи	 to 	тещи	 distance == 1
from наплонити	 to 	наполнити	 distance == 2
from увѣщевати	 to 	увѣщавати	 distance == 1
from пробивати	 to 	прибивати	 distance == 1
from ровный	 to 	равный	 distance == 1
from изныряти	 to 	изнуряти	 distance == 1
from взгремѣти	 to 	возгремѣти	 distance == 1
from прѣвзити	 to 	превозити	 distance == 1
from прѣмрачный	 to 	примрачный	 distance == 1
from встенати	 to 	стенати	 distance == 1
from фрягъ	 to 	фригъ	 distance == 1
from излетъ	 to 	изметъ	 distance == 1
from вывалити	 to 	возвалити	 distance == 2
from дрозость	 to 	дерзость	 distance == 2
from сзидати	 to 	созидати	 distance == 1
from турчанинъ	 to 	итуреанинъ	 distance == 2
from мужствовати	 to 	мужествовати	 distance == 1
from амуратъ	 to 	адурамъ	 distance == 2
from рассѣкати	 to 	разсѣкати	 distance == 1
from ширити	 to 	уширити	 distance == 1
from взблагодарити	 to 	возблагодарити	 distance == 1
from тысячникъ	 to 	тысящникъ	 distance == 1
from впрѣди	 to 	впереди	 distance == 1
from мадиомъ	 to 	мадиамъ	 distance == 1
from рассылати	 to 	разсылати	 distance == 1
from достищи	 to 	достоити	 distance == 2
from расѣкати	 to 	разсѣкати	 distance == 1
from удрожавати	 to 	удержавати	 distance == 2
from понюкивати	 to 	покивати	 distance == 2
from выметати	 to 	вметати	 distance == 1
from стрѣти	 to 	сотрети	 distance == 1
from паша	 to 	папа	 distance == 1
from выѣждати	 to 	вреждати	 distance == 1
from гяуръ	 to 	гесуръ	 distance == 2
from многократнѣ	 to 	многократно	 distance == 1
from неистовѣ	 to 	неистовнѣ	 distance == 1
from взрыдати	 to 	возрыдати	 distance == 1
from полатный	 to 	плотный	 distance == 2
from прѣмогати	 to 	пренемогати	 distance == 2
from ягма	 to 	яма	 distance == 1
from прѣступный	 to 	приступный	 distance == 1
from отвѣщевати	 to 	отвѣщавати	 distance == 1
from рассечи	 to 	разсѣщи	 distance == 2
from порассудити	 to 	проразсудити	 distance == 2
from поколѣбити	 to 	поколебати	 distance == 1
from схраняти	 to 	сохраняти	 distance == 1
from прѣмѣняти	 to 	перемѣняти	 distance == 1
from пигия	 to 	пергия	 distance == 2
from напрѣдъ	 to 	напредь	 distance == 1
from всклицание	 to 	восклицание	 distance == 1
from взярити	 to 	возъярити	 distance == 2
from служатель	 to 	служитель	 distance == 1
from смолчевати	 to 	помолчевати	 distance == 2
from ларь	 to 	царь	 distance == 1
from благословление	 to 	благословение	 distance == 1
from ризский	 to 	римский	 distance == 1
from жалобити	 to 	жалити	 distance == 2
from рижанинъ	 to 	арианинъ	 distance == 2
from рига	 to 	риза	 distance == 1
from волга	 to 	волна	 distance == 1
from глѣбъ	 to 	хлѣбъ	 distance == 1
from колязинъ	 to 	боляринъ	 distance == 2
from киселевъ	 to 	кисеевъ	 distance == 1
from пошлинникъ	 to 	подлинникъ	 distance == 1
from сараевъ	 to 	асараевъ	 distance == 1
from бузанъ	 to 	вуфанъ	 distance == 2
from пословъ	 to 	ословъ	 distance == 1
from бугунъ	 to 	бѣгунъ	 distance == 1
from розграбити	 to 	разграбити	 distance == 1
from тезикъ	 to 	азикъ	 distance == 2
from сараи	 to 	сарей	 distance == 2
from брюхатый	 to 	брадатый	 distance == 2
from фота	 to 	фотъ	 distance == 1
from обогнути	 to 	согнути	 distance == 2
from каитаческий	 to 	критический	 distance == 2
from роботати	 to 	работати	 distance == 1
from сарѣ	 to 	сарей	 distance == 1
from маздранский	 to 	мадианский	 distance == 2
from оттуды	 to 	оттуду	 distance == 1
from болкатый	 to 	богатый	 distance == 2
from ханъ	 to 	хинъ	 distance == 1
from кафаръ	 to 	кафары	 distance == 1
from усте	 to 	устие	 distance == 1
from розвалити	 to 	возвалити	 distance == 1
from кашень	 to 	казнь	 distance == 2
from таромъ	 to 	тарсъ	 distance == 2
from фоминый	 to 	фоминъ	 distance == 2
from жеребець	 to 	жребецъ	 distance == 2
from троициный	 to 	троичный	 distance == 2
from вѣдь	 to 	мѣдь	 distance == 1
from зелиѥ	 to 	зелие	 distance == 1
from пѣшеходъ	 to 	пѣшеходецъ	 distance == 2
from доспѣхъ	 to 	поспѣхъ	 distance == 1
from рыло	 to 	рало	 distance == 1
from булатный	 to 	блатный	 distance == 1
from городокъ	 to 	городъ	 distance == 2
from базаръ	 to 	хазаръ	 distance == 1
from разваляти	 to 	разваряти	 distance == 1
from девочка	 to 	чепочка	 distance == 2
from индѣиский	 to 	индийский	 distance == 2
from ногутъ	 to 	ноготь	 distance == 2
from кичирисъ	 to 	кипарисъ	 distance == 2
from буиволъ	 to 	буйволъ	 distance == 1
from ханъ	 to 	хинъ	 distance == 1
from кровать	 to 	кровь	 distance == 2
from трубникъ	 to 	требникъ	 distance == 1
from нагарникъ	 to 	нарамникъ	 distance == 2
from потѣха	 to 	утѣха	 distance == 2
from гарипъ	 to 	гаригъ	 distance == 1
from вырѣзъ	 to 	вредъ	 distance == 2
from людный	 to 	чюдный	 distance == 1
from бутъ	 to 	бунтъ	 distance == 1
from первоть	 to 	персть	 distance == 2
from ерусалимъ	 to 	иерусалимъ	 distance == 1
from твѣрь	 to 	тварь	 distance == 1
from слоновъ	 to 	сионовъ	 distance == 1
